File	Gsec_1	Gsec_2	Gsec_3	Gsec_4	D_1	D_2	D_3	D_4
cyclic_stress_NO1.txt	1.771e+08	1.772e+08	1.773e+08	1.773e+08	1.034e-03	8.425e-04	8.293e-04	8.285e-04
cyclic_stress_NO2.txt	1.765e+08	1.768e+08	1.768e+08	1.768e+08	1.712e-03	1.119e-03	1.111e-03	1.122e-03
cyclic_stress_NO3.txt	1.764e+08	1.770e+08	1.770e+08	1.770e+08	1.628e-03	2.358e-04	3.162e-04	3.109e-04
cyclic_stress_NO4.txt	1.768e+08	1.776e+08	1.777e+08	1.777e+08	1.065e-03	-5.691e-04	-6.553e-04	-6.831e-04
cyclic_stress_NO5.txt	1.774e+08	1.784e+08	1.785e+08	1.785e+08	7.295e-04	-1.119e-03	-1.246e-03	-1.298e-03
cyclic_stress_NO6.txt	1.718e+08	1.755e+08	1.766e+08	1.772e+08	2.257e-02	1.342e-02	1.042e-02	8.865e-03
cyclic_stress_NO7.txt	1.470e+08	1.547e+08	1.557e+08	1.559e+08	7.570e-02	5.964e-02	5.746e-02	5.687e-02
cyclic_stress_NO8.txt	1.263e+08	1.302e+08	1.303e+08	1.303e+08	1.003e-01	9.220e-02	9.197e-02	9.194e-02
cyclic_stress_NO9.txt	1.137e+08	1.158e+08	1.159e+08	1.159e+08	1.062e-01	1.010e-01	1.010e-01	1.009e-01
cyclic_stress_NO10.txt	8.598e+07	8.704e+07	8.712e+07	8.716e+07	9.860e-02	9.391e-02	9.354e-02	9.341e-02
cyclic_stress_NO11.txt	6.900e+07	7.076e+07	7.088e+07	7.098e+07	9.799e-02	8.636e-02	8.505e-02	8.406e-02
cyclic_stress_NO12.txt	5.789e+07	5.944e+07	5.959e+07	5.961e+07	1.049e-01	9.129e-02	8.840e-02	8.711e-02
cyclic_stress_NO13.txt	4.961e+07	5.061e+07	5.062e+07	5.059e+07	1.106e-01	9.766e-02	9.476e-02	9.353e-02
cyclic_stress_NO14.txt	2.600e+07	2.541e+07	2.521e+07	2.508e+07	1.294e-01	1.296e-01	1.288e-01	1.303e-01
cyclic_stress_NO15.txt	1.409e+07	1.363e+07	1.356e+07	1.337e+07	1.550e-01	1.580e-01	1.557e-01	1.602e-01
cyclic_stress_NO16.txt	9.743e+06	9.374e+06	8.993e+06	9.014e+06	1.660e-01	1.726e-01	1.772e-01	1.741e-01
cyclic_stress_NO17.txt	7.474e+06	7.186e+06	6.993e+06	6.938e+06	1.785e-01	1.810e-01	1.820e-01	1.793e-01
cyclic_stress_NO18.txt	3.220e+06	2.936e+06	2.952e+06	2.949e+06	1.978e-01	2.175e-01	2.089e-01	2.124e-01
cyclic_stress_NO19.txt	1.571e+06	1.529e+06	1.451e+06	1.456e+06	2.202e-01	2.260e-01	2.324e-01	2.436e-01
cyclic_stress_NO20.txt	1.119e+06	9.438e+05	9.945e+05	1.011e+06	2.356e-01	2.643e-01	2.411e-01	2.422e-01
cyclic_stress_NO21.txt	8.317e+05	4.659e+05	7.542e+05	7.528e+05	2.378e-01	2.778e-01	2.354e-01	2.943e-01
