File	Gsec_1	Gsec_2	Gsec_3	Gsec_4	D_1	D_2	D_3	D_4
cyclic_MS_stress_NO1.txt	1.901e+08	1.900e+08	1.900e+08	1.900e+08	6.667e-05	1.192e-04	1.232e-04	1.261e-04
cyclic_MS_stress_NO2.txt	1.906e+08	1.905e+08	1.905e+08	1.905e+08	-1.147e-03	-9.011e-04	-8.664e-04	-8.512e-04
cyclic_MS_stress_NO3.txt	1.922e+08	1.921e+08	1.920e+08	1.920e+08	-3.845e-03	-3.304e-03	-3.168e-03	-3.132e-03
cyclic_MS_stress_NO4.txt	1.945e+08	1.943e+08	1.943e+08	1.943e+08	-7.268e-03	-6.664e-03	-6.515e-03	-6.453e-03
cyclic_MS_stress_NO5.txt	1.969e+08	1.968e+08	1.968e+08	1.968e+08	-1.034e-02	-9.885e-03	-9.792e-03	-9.759e-03
cyclic_MS_stress_NO6.txt	1.974e+08	2.001e+08	2.010e+08	2.015e+08	7.420e-03	1.750e-03	-1.456e-04	-1.138e-03
cyclic_MS_stress_NO7.txt	1.803e+08	1.860e+08	1.869e+08	1.871e+08	4.505e-02	3.506e-02	3.366e-02	3.325e-02
cyclic_MS_stress_NO8.txt	1.674e+08	1.709e+08	1.710e+08	1.711e+08	5.670e-02	5.130e-02	5.109e-02	5.108e-02
cyclic_MS_stress_NO9.txt	1.597e+08	1.619e+08	1.619e+08	1.620e+08	5.737e-02	5.366e-02	5.365e-02	5.357e-02
cyclic_MS_stress_NO10.txt	1.370e+08	1.389e+08	1.390e+08	1.391e+08	5.369e-02	4.807e-02	4.761e-02	4.747e-02
cyclic_MS_stress_NO11.txt	1.137e+08	1.170e+08	1.173e+08	1.175e+08	7.432e-02	6.003e-02	5.804e-02	5.664e-02
cyclic_MS_stress_NO12.txt	9.469e+07	9.691e+07	9.692e+07	9.677e+07	9.160e-02	7.616e-02	7.256e-02	7.102e-02
cyclic_MS_stress_NO13.txt	7.982e+07	8.063e+07	8.035e+07	8.015e+07	1.021e-01	8.903e-02	8.562e-02	8.420e-02
cyclic_MS_stress_NO14.txt	4.051e+07	3.871e+07	3.800e+07	3.779e+07	1.212e-01	1.251e-01	1.254e-01	1.266e-01
cyclic_MS_stress_NO15.txt	2.269e+07	2.085e+07	2.021e+07	2.028e+07	1.433e-01	1.489e-01	1.504e-01	1.517e-01
cyclic_MS_stress_NO16.txt	1.625e+07	1.423e+07	1.370e+07	1.297e+07	1.456e-01	1.648e-01	1.617e-01	1.675e-01
cyclic_MS_stress_NO17.txt	1.241e+07	1.112e+07	1.097e+07	1.039e+07	1.582e-01	1.684e-01	1.669e-01	1.752e-01
cyclic_MS_stress_NO18.txt	5.649e+06	4.909e+06	4.981e+06	4.913e+06	1.759e-01	2.174e-01	1.948e-01	1.956e-01
cyclic_MS_stress_NO19.txt	2.975e+06	2.547e+06	2.364e+06	2.421e+06	1.923e-01	2.242e-01	2.120e-01	2.325e-01
cyclic_MS_stress_NO20.txt	2.072e+06	1.576e+06	1.728e+06	1.830e+06	2.121e-01	2.589e-01	2.297e-01	2.141e-01
cyclic_MS_stress_NO21.txt	1.568e+06	8.140e+05	1.290e+06	1.302e+06	2.141e-01	2.714e-01	2.238e-01	2.751e-01
